,Time,Returns_BBDC4
152,2013-05-21,0.005167779114247484
153,2013-05-22,0.003713546173393034
154,2013-05-23,-0.013786346651174952
155,2013-05-24,-0.0075444915815086055
156,2013-05-27,-0.0035050184856020294
157,2013-05-28,0.005833455829928447
158,2013-05-29,-0.021748802838528203
159,2013-05-31,0.019708015983922245
160,2013-06-03,-0.029261045516399964
161,2013-06-04,-0.013588382601830151
162,2013-06-05,-0.02868379064903559
163,2013-06-06,0.0006267173874445753
164,2013-06-07,-0.02437200385678384
165,2013-06-10,0.020924492906027936
166,2013-06-11,-0.039031472315674165
167,2013-06-12,-0.003269427514478007
168,2013-06-13,-0.013840653959047433
169,2013-06-14,-0.01673630434404405
170,2013-06-17,0.0047177854798725605
171,2013-06-18,-0.00742158397425996
172,2013-06-19,-0.021892647439707424
