,Time,Returns_MULT3
151,2013-05-20,-0.005884892932569663
152,2013-05-21,0.003030832451680787
153,2013-05-22,0.0021832404155901486
154,2013-05-23,-0.001174989624482592
155,2013-05-24,-0.02276300046353885
156,2013-05-27,0.003259253249702887
157,2013-05-28,-0.007564038127209294
158,2013-05-29,-0.01652931920746603
159,2013-05-31,-0.017878128753084255
160,2013-06-03,-0.007889640997627012
161,2013-06-04,-0.0009004773314504888
162,2013-06-05,-0.01360565205577835
163,2013-06-06,-0.0009136409871395301
164,2013-06-07,-0.018636981900435057
165,2013-06-10,-0.005415962389703655
166,2013-06-11,-0.024645873047727473
167,2013-06-12,-0.007707109514861532
168,2013-06-13,0.00866641894094844
169,2013-06-14,-0.003072788933131232
170,2013-06-17,-0.018049999466420275
171,2013-06-18,0.005273984137640131
