,Time,Returns_ELET3
151,2013-05-20,0.028987536873252395
152,2013-05-21,0.05737003165895849
153,2013-05-22,0.07114881914201976
154,2013-05-23,0.014962872676712369
155,2013-05-24,0.019608471388376403
156,2013-05-27,-0.009756174945364737
157,2013-05-28,0.028987536873252173
158,2013-05-29,-0.055479152320228486
159,2013-05-31,-0.05164658886216689
160,2013-06-03,0.01577596259416758
161,2013-06-04,-0.024649135274654066
162,2013-06-05,-0.041862345360911934
163,2013-06-06,0.001857010747212673
164,2013-06-07,-0.0651571416336374
165,2013-06-10,-0.001982161203991195
166,2013-06-11,-0.042559614418795855
167,2013-06-12,-0.025158559636154987
168,2013-06-13,0.061748007068447075
169,2013-06-14,-0.05539877938978832
170,2013-06-17,0.018809331957496234
171,2013-06-18,0.04057351644716656
