,Time,Returns_NATU3
150,2013-05-17,-0.007762966110370417
151,2013-05-20,0.008328611459341495
152,2013-05-21,0.0007537403857296177
153,2013-05-22,0.016995459968694338
154,2013-05-23,-0.016807155981165334
155,2013-05-24,0.0011293432619354782
156,2013-05-27,0.013453136256881049
157,2013-05-28,-0.0193016956286316
158,2013-05-29,-0.023936040745467846
159,2013-05-31,-0.017201303882767416
160,2013-06-03,-0.014497304411579037
161,2013-06-04,-0.00360723827199827
162,2013-06-05,0.003807218266664414
163,2013-06-06,-0.00040008002133973264
164,2013-06-07,-0.0010009008942883924
165,2013-06-10,0.01075709565340377
166,2013-06-11,-0.009356114737775645
167,2013-06-12,-0.0048115971901490084
168,2013-06-13,0.006809559932661635
169,2013-06-14,-0.0039999253330260665
170,2013-06-17,-0.010678110822076814
