,Time,Returns_BRML3
150,2013-05-17,0.0020611585321441694
151,2013-05-20,-0.01036131065657031
152,2013-05-21,0.003743071842670087
153,2013-05-22,0.004143028069362842
154,2013-05-23,-0.005801439550511045
155,2013-05-24,-0.018045857154160405
156,2013-05-27,0.013041811808295112
157,2013-05-28,-0.0181309136085952
158,2013-05-29,-0.025867510960286832
159,2013-05-31,-0.044650601648056565
160,2013-06-03,-0.006870525325796795
161,2013-06-04,-0.0032220115859646903
162,2013-06-05,0.008268198923844228
163,2013-06-06,-0.006890000424307985
164,2013-06-07,-0.021409652735893125
165,2013-06-10,-0.004717705047461607
166,2013-06-11,-0.023928265838635276
167,2013-06-12,-0.012178661863062601
168,2013-06-13,0.0097576690888026
169,2013-06-14,0.004359356332399589
170,2013-06-17,-0.018045437999660408
