,Time,Returns_FIBR3
151,2013-05-20,-0.005127021251833064
152,2013-05-21,0.002799768576422945
153,2013-05-22,0.01938224124571164
154,2013-05-23,0.009099289558954116
155,2013-05-24,0.030332387849235865
156,2013-05-27,0.011793147996086883
157,2013-05-28,0.0043326757552342166
158,2013-05-29,0.026452097471199032
159,2013-05-31,-0.006335818449085817
160,2013-06-03,-0.006802704660637371
161,2013-06-04,0.016081556556226673
162,2013-06-05,-0.009702670507570232
163,2013-06-06,0.008862645241037637
164,2013-06-07,0.012526301835988018
165,2013-06-10,-0.016736750161431946
166,2013-06-11,-0.02304843763038278
167,2013-06-12,-0.02315023724847931
168,2013-06-13,-0.0008840849382201199
169,2013-06-14,-0.010671510313331023
170,2013-06-17,0.024725276665048757
171,2013-06-18,0.0372394417908084
172,2013-06-19,0.006700192850399578
