,Time,Returns_USIM5
152,2013-05-21,0.005602255548669888
153,2013-05-22,0.01771917898510278
154,2013-05-23,0.02171638001710896
155,2013-05-24,0.0021459235702767643
156,2013-05-27,0.0074746744167057955
157,2013-05-28,0.015831465216680662
158,2013-05-29,-0.037337670437644466
159,2013-05-31,-0.033152207316900384
160,2013-06-03,0.014501090690799856
161,2013-06-04,0.014293811257144906
162,2013-06-05,-0.05728685774225095
163,2013-06-06,-0.015142980102563541
164,2013-06-07,-0.033415996919844204
165,2013-06-10,-0.01960847138837618
166,2013-06-11,-0.0339869086814093
167,2013-06-12,-0.005134799472038765
168,2013-06-13,0.08389627698952618
169,2013-06-14,-0.013103224998426644
170,2013-06-17,-0.01692906210044809
171,2013-06-18,0.021713760223784462
172,2013-06-19,-0.03645604196098784
