,Time,Returns_LREN3
151,2013-05-20,0.020431595084044574
152,2013-05-21,0.0052650198462314
153,2013-05-22,0.0070954827888942695
154,2013-05-23,-0.0100967309717781
155,2013-05-24,0.02009929291869561
156,2013-05-27,-0.01422913405152304
157,2013-05-28,0.0043494088138280596
158,2013-05-29,-0.03445349399112807
159,2013-05-31,-0.04423957269508971
160,2013-06-03,-0.016787723733913573
161,2013-06-04,-0.0035573709989087376
162,2013-06-05,-0.00687220380242648
163,2013-06-06,-0.0001365612365464841
164,2013-06-07,-0.009008589301993553
165,2013-06-10,-0.011759450744373456
166,2013-06-11,-0.016614000314052024
167,2013-06-12,-0.005457351927133036
168,2013-06-13,0.00358893665858373
169,2013-06-14,-0.04399096388920665
170,2013-06-17,0.009699413007359325
171,2013-06-18,-0.007459050976792891
