,Time,Returns_HYPE3
151,2013-05-20,0.010398765292909395
152,2013-05-21,0.006872879287762146
153,2013-05-22,0.00965647919255952
154,2013-05-23,-0.013087071563119057
155,2013-05-24,-0.006319986744817374
156,2013-05-27,0.013169385864162386
157,2013-05-28,0.01018684530699332
158,2013-05-29,-0.014747856634555578
159,2013-05-31,-0.020786026102893818
160,2013-06-03,-0.005264709748077134
161,2013-06-04,-0.008244982168008619
162,2013-06-05,-0.0065263360250868985
163,2013-06-06,-0.004773279037460831
164,2013-06-07,-0.006600564018043542
165,2013-06-10,-0.007250847258390092
166,2013-06-11,-0.023934864581090398
167,2013-06-12,-0.0037336072079110494
168,2013-06-13,-0.004373702555585002
169,2013-06-14,-0.01260256125197401
170,2013-06-17,0.0019005390579738268
171,2013-06-18,-0.01788042527784839
