,Time,Returns_VIVT4
152,2013-05-21,0.004259652636442901
153,2013-05-22,-0.0003683502745763789
154,2013-05-23,0.012497683757219935
155,2013-05-24,-0.006046276762710967
156,2013-05-27,0.0051324822968359385
157,2013-05-28,0.004196248032088068
158,2013-05-29,-0.013564390595028009
159,2013-05-31,-0.029588976752268348
160,2013-06-03,0.011714384663366939
161,2013-06-04,0.016581383845047704
162,2013-06-05,-0.0024030437320106124
163,2013-06-06,-0.007437636442804152
164,2013-06-07,-0.009185967473652301
165,2013-06-10,0.0164371828673735
166,2013-06-11,-0.03391424985020475
167,2013-06-12,-0.009240663042102693
168,2013-06-13,0.015353984884439953
169,2013-06-14,-0.01149426564972611
170,2013-06-17,0.0019251952477969958
171,2013-06-18,0.010521219104021373
172,2013-06-19,-0.012252582705040371
