,Time,Returns_BRAP4
151,2013-05-20,0.03584005528718093
152,2013-05-21,0.009178161859702882
153,2013-05-22,-0.02268047612760693
154,2013-05-23,-0.014548822537301831
155,2013-05-24,-0.013452231498436884
156,2013-05-27,0.009565377280325027
157,2013-05-28,-0.01657982969314764
158,2013-05-29,-0.012840512646677293
159,2013-05-31,-0.017079156723335043
160,2013-06-03,0.019749340715934594
161,2013-06-04,0.0
162,2013-06-05,-0.02247285585205816
163,2013-06-06,0.004535155165390936
164,2013-06-07,-0.022421391730040874
165,2013-06-10,-0.01116810066803886
166,2013-06-11,-0.0294418694489198
167,2013-06-12,-0.01701134582653685
168,2013-06-13,0.06820825002653352
169,2013-06-14,-0.03304936657481683
170,2013-06-17,0.015030907692184403
171,2013-06-18,0.023497879109916298
172,2013-06-19,-0.016066354310321884
