,Time,Returns_CCR03
153,2013-05-22,-0.013290916463101876
154,2013-05-23,-0.005964282242123531
155,2013-05-24,-0.015574241336208772
156,2013-05-27,0.002528395848306886
157,2013-05-28,-0.004555816766477427
158,2013-05-29,-0.008662372637251892
159,2013-05-31,0.0
160,2013-06-03,-0.002049232222007369
161,2013-06-04,0.015267421625736688
162,2013-06-05,-0.010152320958965788
163,2013-06-06,-0.02584123118388737
164,2013-06-07,-0.018494582636164658
165,2013-06-10,-0.009646377051805377
166,2013-06-11,-0.010828421700999957
167,2013-06-12,-0.015359654256410504
168,2013-06-13,0.009901070982711424
169,2013-06-14,-0.01990115431729489
170,2013-06-17,0.01880586395588013
171,2013-06-18,-0.00494370685535328
172,2013-06-19,-0.028485589793841637
173,2013-06-20,-0.011396077424280726
174,2013-06-21,-0.037365818022902175
