,Time,Returns_BBSE3
152,2013-12-05,-0.006543990365633245
153,2013-12-06,-0.012386656876191893
154,2013-12-09,0.010743905000450749
155,2013-12-10,0.002872975503724895
156,2013-12-11,-0.002051282770557439
157,2013-12-12,-0.015311699929230649
158,2013-12-13,0.006650024644995867
159,2013-12-16,0.0
160,2013-12-17,0.009892908791533372
161,2013-12-18,-0.0020529262404660464
162,2013-12-19,0.009001656711900008
163,2013-12-20,-0.01147079376882143
164,2013-12-23,-0.013272654127932881
165,2013-12-26,-0.01133755559477212
166,2013-12-27,0.020481384699586602
167,2013-12-30,0.013560922835289979
168,2014-01-02,-0.022704751940104462
169,2014-01-03,-0.02195111309087272
170,2014-01-06,-0.014184634991956546
171,2014-01-07,-0.006514637448209903
172,2014-01-08,0.012556951904172386
