,Time,Returns_EQTL3
153,2013-05-22,0.0023987058179537613
154,2013-05-23,0.0014363899659883828
155,2013-05-24,0.0042969748617767145
156,2013-05-27,-0.0019074397316991565
157,2013-05-28,-0.0033469789791262805
158,2013-05-29,-0.008657966541215423
159,2013-05-31,0.012959048646154159
160,2013-06-03,-0.0071787340398321575
161,2013-06-04,-0.003367816510115418
162,2013-06-05,-0.003862872983030563
163,2013-06-06,-0.0180625369070202
164,2013-06-07,0.004423698756057082
165,2013-06-10,-0.019312261988722934
166,2013-06-11,-0.017654935238720526
167,2013-06-12,-0.01797229421790325
168,2013-06-13,0.023048447249763626
169,2013-06-14,-0.005585239337309034
170,2013-06-17,-0.0071537864401207685
171,2013-06-18,-0.010309421472333824
172,2013-06-19,-0.01830105979848451
173,2013-06-20,-0.03983314547424932
