,Time,Returns_PETR4
152,2013-05-21,0.0024721396404401297
153,2013-05-22,-0.01643054139609612
154,2013-05-23,-0.0030165431869595416
155,2013-05-24,0.011514469857350385
156,2013-05-27,-0.007996044602139651
157,2013-05-28,0.005504191892159227
158,2013-05-29,-0.009526318983663185
159,2013-05-31,0.010523725550140028
160,2013-06-03,0.011400470439745014
161,2013-06-04,-0.01090204031483788
162,2013-06-05,-0.0329226999450678
163,2013-06-06,0.0020575625072174475
164,2013-06-07,-0.03237875622217912
165,2013-06-10,0.0021208386030342474
166,2013-06-11,-0.018712013487443446
167,2013-06-12,-0.022374738461337973
168,2013-06-13,0.03684046084194259
169,2013-06-14,-0.024227242143833205
170,2013-06-17,-0.014270275093375417
171,2013-06-18,-0.014476867532155158
172,2013-06-19,-0.03597298991610831
