,Time_IPCA,Returns_IPCA
153,2014-09-01,-0.04084410936394134
154,2014-10-01,0.15085582508853823
155,2014-11-01,-0.18924150481094337
156,2014-12-01,-0.2852400904628908
157,2015-01-01,-0.40872004024834746
158,2015-02-01,0.07195178021744342
159,2015-03-01,0.13747630668517846
160,2015-04-01,-0.4086651028388346
161,2015-05-01,0.09052933238580249
162,2015-06-01,0.16625899415879433
163,2015-07-01,0.20922976677093455
164,2015-08-01,0.0
165,2015-09-01,-0.20843497537150782
166,2015-10-01,-0.0007947913994267378
167,2015-11-01,0.27224389804357274
168,2015-12-01,0.16972193973299604
169,2016-01-01,0.22475104730232298
170,2016-02-01,-0.394472987035319
171,2016-03-01,-0.06777612565787985
172,2016-04-01,0.27272559607223734
173,2016-05-01,-0.10561461730552857
174,2016-06-01,-0.002361121448857584
