,Time,Returns_RENT3
150,2013-05-17,0.006006813208722317
151,2013-05-20,0.010426568060532215
152,2013-05-21,0.03579520888405696
153,2013-05-22,0.014755122986769731
154,2013-05-23,-0.009907148659084708
155,2013-05-24,0.0017041767368186633
156,2013-05-27,-0.008556301196081861
157,2013-05-28,-0.005168653834167536
158,2013-05-29,-0.021242098372602047
159,2013-05-31,-0.03562925668059336
160,2013-06-03,-0.004889138798193748
161,2013-06-04,0.02897923606293462
162,2013-06-05,-0.03358216194965191
163,2013-06-06,0.0061357493289322385
164,2013-06-07,-0.023203334258810937
165,2013-06-10,-0.011017265020958789
166,2013-06-11,-0.015949677064538648
167,2013-06-12,0.0006446822738168656
168,2013-06-13,0.020670138821173634
169,2013-06-14,-0.020670138821173634
170,2013-06-17,-0.013588042518970944
