,Time,Returns_BRFS3
152,2013-05-21,-0.002617579318346941
153,2013-05-22,-0.018311742785875218
154,2013-05-23,0.0
155,2013-05-24,0.014271414057280829
156,2013-05-27,-0.004463427891659322
157,2013-05-28,0.0024370239766220436
158,2013-05-29,0.008080892458638633
159,2013-05-31,0.004416730773761479
160,2013-06-03,-0.0070358719645859935
161,2013-06-04,-0.00020173509397869438
162,2013-06-05,-0.009732416345997752
163,2013-06-06,-0.009211015613373785
164,2013-06-07,0.00533221115734106
165,2013-06-10,-0.014836477013962845
166,2013-06-11,-0.024588777412452245
167,2013-06-12,-0.008547103496914232
168,2013-06-13,-0.008620678480429689
169,2013-06-14,-0.002166913114060698
170,2013-06-17,-0.001954185920088669
171,2013-06-18,0.010378558023931728
172,2013-06-19,-0.021524952765592076
