,Time,Returns_CSNA3
150,2013-05-17,0.0029806281381377087
151,2013-05-20,0.019160497739075577
152,2013-05-21,0.021661496781179457
153,2013-05-22,0.0
154,2013-05-23,-0.004294924282880697
155,2013-05-24,0.011412392051744824
156,2013-05-27,0.0014174346809732175
157,2013-05-28,-0.015703391928449717
158,2013-05-29,-0.029199154692262308
159,2013-05-31,-0.020958851020843605
160,2013-06-03,0.022439236191277745
161,2013-06-04,-0.0059347355198144935
162,2013-06-05,-0.042559614418795855
163,2013-06-06,-0.017228303960177493
164,2013-06-07,-0.0370114649768194
165,2013-06-10,-0.009884759232541951
166,2013-06-11,-0.037103750203377084
167,2013-06-12,0.008554372096658769
168,2013-06-13,0.07860017906459493
169,2013-06-14,0.02795213038373956
170,2013-06-17,-0.018547672355760936
171,2013-06-18,0.027694077581837062
