,Time,Returns_BVMF3
151,2013-05-20,0.020273326292867377
152,2013-05-21,0.0068965790590604925
153,2013-05-22,-0.003442344190972779
154,2013-05-23,-0.007615128527252324
155,2013-05-24,-0.008374089410531305
156,2013-05-27,0.007678920804155442
157,2013-05-28,0.005547864437718264
158,2013-05-29,-0.02521141934649629
159,2013-05-31,-0.006403437035206849
160,2013-06-03,-0.004291852081541148
161,2013-06-04,0.0007165890668519026
162,2013-06-05,-0.026126304592219984
163,2013-06-06,0.008784829555732898
164,2013-06-07,-0.028837488107122056
165,2013-06-10,-0.0015015017835970923
166,2013-06-11,-0.03595033414520499
167,2013-06-12,-0.01886848430438315
168,2013-06-13,0.0212022076506031
169,2013-06-14,-0.014084739881738972
170,2013-06-17,0.0007877117382495413
171,2013-06-18,0.031010236742559982
