,Time,Returns_CSAN3
152,2013-05-21,0.013201680535356086
153,2013-05-22,0.0036823466978810337
154,2013-05-23,0.0008151629336814459
155,2013-05-24,-0.01686781849445751
156,2013-05-27,-0.010008459087565758
157,2013-05-28,0.00564061610111688
158,2013-05-29,-0.005430785914501524
159,2013-05-31,-0.00905087105987823
160,2013-06-03,-0.015769214603261528
161,2013-06-04,0.0025752582233624643
162,2013-06-05,-0.014675783131425924
163,2013-06-06,-0.04672559768599216
164,2013-06-07,0.015369822473077832
165,2013-06-10,-0.02154019985467226
166,2013-06-11,-0.030249885033660107
167,2013-06-12,0.02726682969777139
168,2013-06-13,0.018449866949755478
169,2013-06-14,-0.010437700056275201
170,2013-06-17,-0.013544782977683578
171,2013-06-18,0.004380849757497529
172,2013-06-19,-0.017645012191576992
