,Time,Returns_QUAL3
151,2013-05-20,0.006872879287761702
152,2013-05-21,0.007349166742727675
153,2013-05-22,0.015568502938669404
154,2013-05-23,-0.019236413783908723
155,2013-05-24,0.005757723463444275
156,2013-05-27,-0.0031364374901299286
157,2013-05-28,0.004701027077496978
158,2013-05-29,-0.002609028351878706
159,2013-05-31,-0.013677226026951317
160,2013-06-03,-0.009579530414776105
161,2013-06-04,0.0005345095021671575
162,2013-06-05,-0.00643428510528965
163,2013-06-06,0.029156532044849914
164,2013-06-07,-0.029156532044849914
165,2013-06-10,-0.012994227232773436
166,2013-06-11,-0.019257816604414835
167,2013-06-12,-0.005571045049455492
168,2013-06-13,0.002789457797883532
169,2013-06-14,-0.02082827838756174
170,2013-06-17,-0.00799541643674928
171,2013-06-18,-0.016185381760465134
