,Time,Returns_ITSA4
152,2013-05-21,0.017021290818443946
153,2013-05-22,0.017773628559610843
154,2013-05-23,-0.013562839071204369
155,2013-05-24,-0.0021038880054204956
156,2013-05-27,-0.0031627310546498144
157,2013-05-28,0.009459752121877552
158,2013-05-29,-0.027574297432223727
159,2013-05-31,0.010695227426231524
160,2013-06-03,-0.010695227426231524
161,2013-06-04,-0.0021522597230296814
162,2013-06-05,-0.03174954190562951
163,2013-06-06,0.01326067767322714
164,2013-06-07,-0.014372586692284806
165,2013-06-10,0.003335017671481477
166,2013-06-11,-0.030424837437837082
167,2013-06-12,0.0
168,2013-06-13,0.006841181222397852
169,2013-06-14,-0.027651674517196856
170,2013-06-17,0.003498367984283046
171,2013-06-18,-0.005836904823864675
172,2013-06-19,-0.018914253813892223
173,2013-06-20,-0.0011928958918672183
