,Time,Returns_SBSP3
150,2013-05-17,-0.026246199734537345
151,2013-05-20,0.03232293700594546
152,2013-05-21,0.033143939251835786
153,2013-05-22,0.014545783733498574
154,2013-05-23,0.0018033908980683577
155,2013-05-24,-0.01086963580703193
156,2013-05-27,0.008705168911578909
157,2013-05-28,0.009345862082292378
158,2013-05-29,-0.01115327265926469
159,2013-05-31,-0.027881484267451295
160,2013-06-03,-0.011599718680844973
161,2013-06-04,-0.006418749619451436
162,2013-06-05,-0.026872979340591296
163,2013-06-06,0.006979400181143625
164,2013-06-07,0.008081668155814015
165,2013-06-10,-0.03510496908582583
166,2013-06-11,-0.007571305194610467
167,2013-06-12,-0.007629067470819706
168,2013-06-13,0.006828747300050786
169,2013-06-14,-0.013298604208732634
170,2013-06-17,0.004856343012569209
