,Time,Returns_CMIG4
150,2013-05-17,0.028860364759955015
151,2013-05-20,0.016567740113821117
152,2013-05-21,0.015419154577762217
153,2013-05-22,0.018201672653752166
154,2013-05-23,0.0008510909327692495
155,2013-05-24,-0.0008510909327692495
156,2013-05-27,-0.009492041276324859
157,2013-05-28,-0.011337837450567267
158,2013-05-29,-0.021714179981781268
159,2013-05-31,-0.03048008110165723
160,2013-06-03,0.031820875950602456
161,2013-06-04,-0.019423526413457903
162,2013-06-05,-0.01888612950086488
163,2013-06-06,-0.011219809866162223
164,2013-06-07,-0.03443510500577096
165,2013-06-10,0.007273235019016777
166,2013-06-11,-0.029409119089608637
167,2013-06-12,-0.016047647394225262
168,2013-06-13,0.03330735088041603
169,2013-06-14,-0.023750565707652438
170,2013-06-17,0.021300223514371996
