,Time,Returns_RADL3
152,2013-05-21,0.01097984050002987
153,2013-05-22,0.018723285016293723
154,2013-05-23,-0.01202589678842747
155,2013-05-24,-0.019802585577363363
156,2013-05-27,-0.017167803622365696
157,2013-05-28,0.012475920315025757
158,2013-05-29,-0.009450199398488568
159,2013-05-31,-0.008234066023675268
160,2013-06-03,0.012540704893590604
161,2013-06-04,0.01957509313347172
162,2013-06-05,-0.025609637438220645
163,2013-06-06,0.0021594049021542716
164,2013-06-07,-0.0025917508548345403
165,2013-06-10,0.0008645914935465626
166,2013-06-11,-0.012611561210103872
167,2013-06-12,-0.0333735088165068
168,2013-06-13,-0.031252543504104224
169,2013-06-14,-0.016474837203505288
170,2013-06-17,0.001896681415044732
171,2013-06-18,0.020628860914901015
172,2013-06-19,-0.034942177794321516
