,Time,Returns_UGPA3
150,2013-05-17,0.007433630325005325
151,2013-05-20,0.007916522093120548
152,2013-05-21,-0.0035906861808054913
153,2013-05-22,-0.0008996672014740525
154,2013-05-23,-0.009405025184078042
155,2013-05-24,-0.010595605155318655
156,2013-05-27,0.0016515280081668138
157,2013-05-28,0.002014855466460741
158,2013-05-29,-0.008268324323284837
159,2013-05-31,-0.008337259888012927
160,2013-06-03,0.0009297815726059255
161,2013-06-04,-0.0009297815726059255
162,2013-06-05,-0.004662013105811269
163,2013-06-06,-0.007504763318851637
164,2013-06-07,-0.0234363214987674
165,2013-06-10,0.015115584983821595
166,2013-06-11,-0.011267186893355596
167,2013-06-12,-0.014898234491261597
168,2013-06-13,-0.013739195915818847
169,2013-06-14,0.007874095956598381
170,2013-06-17,-0.0035356548323077774
