,Time,Returns_VALE3
152,2013-05-21,0.007874147167107992
153,2013-05-22,-0.016117210426866535
154,2013-05-23,-0.01887727503553327
155,2013-05-24,-0.009731579072318919
156,2013-05-27,0.004720669589196369
157,2013-05-28,-0.017419316420947073
158,2013-05-29,-0.008019289423857323
159,2013-05-31,-0.019512749176739952
160,2013-06-03,0.03707109359623839
161,2013-06-04,0.01257878220686015
162,2013-06-05,-0.03433267908050519
163,2013-06-06,0.011575723927197856
164,2013-06-07,-0.01643875831246877
165,2013-06-10,-0.010125874696876203
166,2013-06-11,-0.02493065882125922
167,2013-06-12,-0.010829209410168072
168,2013-06-13,0.04977802815190646
169,2013-06-14,-0.02657197547591439
170,2013-06-17,0.010582109330536937
171,2013-06-18,0.02051190227498978
172,2013-06-19,-0.010366208797118581
