,Time,Returns_PCAR4
151,2013-05-20,0.024803761097856203
152,2013-05-21,-0.00200720931383902
153,2013-05-22,-0.0187828371682075
154,2013-05-23,-0.020140925934760467
155,2013-05-24,-0.000908659770913367
156,2013-05-27,-0.01216461712200001
157,2013-05-28,0.01434404045269666
158,2013-05-29,-0.026099588426375497
159,2013-05-31,-0.03419056408470045
160,2013-06-03,-0.003764655195348965
161,2013-06-04,-0.0033906449681389006
162,2013-06-05,-0.003596980445609965
163,2013-06-06,0.027093596913181806
164,2013-06-07,-0.0019924955498753505
165,2013-06-10,-0.012327558224873414
166,2013-06-11,-0.01452810056290943
167,2013-06-12,-0.012961689714672708
168,2013-06-13,-0.02532285612147156
169,2013-06-14,0.006265127638700463
170,2013-06-17,0.0014093720804346788
171,2013-06-18,-0.005952739043849853
172,2013-06-19,-0.002735949377474789
