,Time,Returns_BBAS3
151,2013-05-20,0.020148904028896464
152,2013-05-21,-0.012116770734089233
153,2013-05-22,0.016248232009790087
154,2013-05-23,-0.0011250704355694197
155,2013-05-24,0.0014998502717951112
156,2013-05-27,0.004858876969883852
157,2013-05-28,-0.0011191569696547
158,2013-05-29,-0.034944686031128214
159,2013-05-31,-0.018334860828258748
160,2013-06-03,0.0051050963985055375
161,2013-06-04,-0.01937968425499692
162,2013-06-05,-0.023844329347323612
163,2013-06-06,-0.0036877729280773153
164,2013-06-07,-0.027467393557421005
165,2013-06-10,0.010075651565743193
166,2013-06-11,-0.024953757786014386
167,2013-06-12,-0.04421819047385167
168,2013-06-13,0.020820198814820223
169,2013-06-14,0.004810899390664147
170,2013-06-17,0.002614380574070818
171,2013-06-18,-0.01667436614236939
172,2013-06-19,-0.03192004042643015
