,Time,Returns_RAIL3
152,2015-11-13,-0.0014306140237705378
153,2015-11-16,-0.007178078282813916
154,2015-11-17,0.01572546036455047
155,2015-11-18,-0.021506038197004917
156,2015-11-19,0.007221490438606759
157,2015-11-23,-0.026241531028943887
158,2015-11-24,-0.04069940546083761
159,2015-11-25,-0.04886568675319447
160,2015-11-26,-0.026189033727676225
161,2015-11-27,-0.0033223854989901103
162,2015-11-30,-0.0016642128260055955
163,2015-12-01,-0.00836969105843055
164,2015-12-02,0.03306208346259276
165,2015-12-03,-0.00652554647932746
166,2015-12-04,-0.031590354237288176
167,2015-12-07,0.010084486275913518
168,2015-12-08,-0.005030669021890644
169,2015-12-09,0.03468573902356753
170,2015-12-10,-0.014717611131549013
171,2015-12-11,0.0
172,2015-12-14,-0.011598436833587966
