,Time,Returns_WEGE3
152,2013-05-21,0.018349138668196652
153,2013-05-22,-0.003506139329287894
154,2013-05-23,-0.01805184588836317
155,2013-05-24,-0.015115429602028385
156,2013-05-27,0.007946539158507182
157,2013-05-28,0.0093123548601044
158,2013-05-29,-0.008956895752866956
159,2013-05-31,0.018183330166432032
160,2013-06-03,-0.005673408293597415
161,2013-06-04,0.003899323251333353
162,2013-06-05,0.001774085042264062
163,2013-06-06,-0.01638925573573058
164,2013-06-07,0.0
165,2013-06-10,-0.004313073594859773
166,2013-06-11,-0.01160912145399351
167,2013-06-12,-0.0076938838291154
168,2013-06-13,0.013520006181522604
169,2013-06-14,0.007225879115056788
170,2013-06-17,0.0014314519516438473
171,2013-06-18,0.0014387416297454436
172,2013-06-19,-0.005401294648628596
