,Time,Returns_SANB11
151,2013-05-20,0.020134908409056074
152,2013-05-21,
153,2013-05-22,
154,2013-05-23,
155,2013-05-24,
156,2013-05-27,
157,2013-05-28,
158,2013-05-29,
159,2013-05-31,
160,2013-06-03,
161,2013-06-04,
162,2013-06-05,
163,2013-06-06,
164,2013-06-07,
165,2013-06-10,
166,2013-06-11,
167,2013-06-12,
168,2013-06-13,
169,2013-06-14,
170,2013-06-17,
171,2013-06-18,
172,2013-06-19,
173,2013-06-20,
174,2013-06-21,
175,2013-06-24,
176,2013-06-25,
177,2013-06-26,
178,2013-06-27,
179,2013-06-28,
180,2013-07-01,
181,2013-07-02,
182,2013-07-03,
183,2013-07-04,
184,2013-07-05,
185,2013-07-08,
186,2013-07-10,
187,2013-07-11,
188,2013-07-12,
189,2013-07-15,
190,2013-07-16,
