,Time,Returns_JBSS3
149,2013-05-16,0.05766564184980916
150,2013-05-17,-0.01301536811207038
151,2013-05-20,0.01013766828445517
152,2013-05-21,-0.017442302663342346
153,2013-05-22,0.008759180089881413
154,2013-05-23,0.01729149711006106
155,2013-05-24,-0.014388737452099454
156,2013-05-27,0.017241806434505902
157,2013-05-28,0.012739025777429802
158,2013-05-29,-0.021322769468821168
159,2013-05-31,0.019915309700941464
160,2013-06-03,-0.00848661387731875
161,2013-06-04,-0.011428695823622714
162,2013-06-05,-0.004319661144516429
163,2013-06-06,0.03822121282019775
164,2013-06-07,-0.016807118316381153
165,2013-06-10,-0.05965404777809624
166,2013-06-11,-0.0746847732310274
167,2013-06-12,0.036483031005364985
168,2013-06-13,-0.006250020345171414
169,2013-06-14,-0.06307668522934029
170,2013-06-17,0.04886965858499104
