,Time,Returns_ECOR3
152,2013-05-21,0.0011435107020791868
153,2013-05-22,-0.007456243105932625
154,2013-05-23,-0.004038194123272554
155,2013-05-24,0.0
156,2013-05-27,-0.005797001741322916
157,2013-05-28,0.0011619989686333376
158,2013-05-29,-0.03426206563066714
159,2013-05-31,0.018458517526600993
160,2013-06-03,-0.009484362174798644
161,2013-06-04,0.0035671261496617035
162,2013-06-05,-0.0005936479841901487
163,2013-06-06,-0.008947211224321183
164,2013-06-07,-0.020581900246596785
165,2013-06-10,0.010949074985736384
166,2013-06-11,-0.012173065346625211
167,2013-06-12,-0.021665966644245138
168,2013-06-13,0.020440414982713317
169,2013-06-14,-0.005533368285858042
170,2013-06-17,0.01711539387155092
171,2013-06-18,-0.011582025585692879
172,2013-06-19,-0.01918963308106081
173,2013-06-20,-0.03045920748470854
