,Time,Returns_CIEL3
150,2013-05-17,-0.046408974372203815
151,2013-05-20,0.004736411350486858
152,2013-05-21,0.004154511853492693
153,2013-05-22,0.014954720949023947
154,2013-05-23,-0.005955078113907941
155,2013-05-24,0.014637406133874098
156,2013-05-27,-0.00018435347606216013
157,2013-05-28,0.01858746256120236
158,2013-05-29,-0.014735824980121492
159,2013-05-31,-0.00846516771664474
160,2013-06-03,0.022657919827386408
161,2013-06-04,0.010070503486492743
162,2013-06-05,-0.009346409453210303
163,2013-06-06,-0.025044014524501446
164,2013-06-07,-0.019059883008117673
165,2013-06-10,0.007516170388532917
166,2013-06-11,-0.021006867641653493
167,2013-06-12,0.00038326582597081327
168,2013-06-13,0.010077225026868142
169,2013-06-14,0.004912924714867817
170,2013-06-17,0.0
171,2013-06-18,0.011235346063587226
