,Time,Returns_ABEV3
150,2013-05-17,0.010573198833130792
151,2013-05-20,-0.007307965966561802
152,2013-05-21,-0.004784924133584223
153,2013-05-22,-0.00822251285561082
154,2013-05-23,-0.005434522805803255
155,2013-05-24,-0.00570875411506222
156,2013-05-27,-0.0009545062029547857
157,2013-05-28,0.01339432848315747
158,2013-05-29,-0.021064378139246998
159,2013-05-31,-0.01307795671184131
160,2013-06-03,-0.023056903320717748
161,2013-06-04,-0.00788909329093368
162,2013-06-05,-0.012517913805717207
163,2013-06-06,0.00583883968446397
164,2013-06-07,-0.012993316818383782
165,2013-06-10,0.001025207373893
166,2013-06-11,-0.025031135165165086
167,2013-06-12,0.0007876807149802545
168,2013-06-13,-0.006847267446437932
169,2013-06-14,0.013256874990879908
170,2013-06-17,0.017449517299946482
