,Time,Returns_EMBR3
152,2013-05-21,0.02042495669237132
153,2013-05-22,-0.01409582164072365
154,2013-05-23,-0.012166190472074234
155,2013-05-24,0.001063723504556524
156,2013-05-27,0.010050389016713623
157,2013-05-28,-0.002107535082181755
158,2013-05-29,0.0015810807399359028
159,2013-05-31,0.02855117296751386
160,2013-06-03,-0.010805404571468724
161,2013-06-04,0.008243220299229748
162,2013-06-05,-0.008243220299229748
163,2013-06-06,-0.00935557759358474
164,2013-06-07,0.007802328470712272
165,2013-06-10,0.005168021971915238
166,2013-06-11,-0.021360541245087905
167,2013-06-12,-0.006869194596614836
168,2013-06-13,0.0031762333961529166
169,2013-06-14,-0.009025811207312717
170,2013-06-17,0.06153406226772251
171,2013-06-18,0.049410879416700304
172,2013-06-19,0.0
173,2013-06-20,0.014218201269583286
