,Time,Returns_BRKM5
151,2013-05-20,-0.0029985628764945815
152,2013-05-21,0.0
153,2013-05-22,-0.006024175026343226
154,2013-05-23,0.019743388525993666
155,2013-05-24,0.0
156,2013-05-27,0.0070839141301131114
157,2013-05-28,-0.002945451232708507
158,2013-05-29,-0.025090920494508673
159,2013-05-31,0.01083031043389715
160,2013-06-03,-0.016898350713719257
161,2013-06-04,-0.0024376003062531737
162,2013-06-05,0.006082804828583921
163,2013-06-06,-0.0054728017413547825
164,2013-06-07,0.003044203171499671
165,2013-06-10,-0.0012166059524756356
166,2013-06-11,-0.039098992016255885
167,2013-06-12,-0.007623925110659346
168,2013-06-13,0.01393309430392442
169,2013-06-14,-0.028710105882431503
170,2013-06-17,0.003231020581446309
171,2013-06-18,0.01790329149252745
172,2013-06-19,0.00253164692177954
