,Time,Returns_ESTC3
338,2014-02-17,-0.015113587048627863
339,2014-02-18,-0.03250226689303526
340,2014-02-19,-0.00948379103697361
341,2014-02-20,0.025608926287677303
342,2014-02-21,0.01891193648409928
343,2014-02-24,0.030418749451103455
344,2014-02-25,0.03332827182421694
345,2014-02-26,0.01975605269161873
346,2014-02-27,0.010655741315292122
347,2014-02-28,0.018265301894345054
348,2014-03-05,0.005415130683275482
349,2014-03-06,-0.009950285848666418
350,2014-03-07,-0.018812208831600064
351,2014-03-10,-0.002782886703626808
352,2014-03-11,0.016582508028720966
353,2014-03-12,-0.014262906021821564
354,2014-03-13,-0.00046349942892343066
355,2014-03-14,-0.004181190760401243
356,2014-03-17,-0.005602208732191638
357,2014-03-18,0.04351490271301861
358,2014-03-19,-0.001794482352214466
359,2014-03-20,0.02088500705311347
360,2014-03-21,-0.0593336788369041
361,2014-03-24,0.0235196909404487
362,2014-03-25,-0.012382684877666694
363,2014-03-26,-0.013472956724054796
364,2014-03-27,0.00931110100577559
365,2014-03-28,0.030125509552393126
366,2014-03-31,0.02749623272881374
367,2014-04-01,-0.004823556714236066
368,2014-04-02,0.027315767875362162
369,2014-04-03,-0.014215187213613145
370,2014-04-04,-0.0008679688044912481
371,2014-04-07,0.003900329802553948
372,2014-04-08,-0.0008654695290233327
373,2014-04-09,0.0051813156756743695
374,2014-04-10,-0.013877022643228099
375,2014-04-11,0.025863510589919425
376,2014-04-14,0.007630388865691451
377,2014-04-15,-0.0055050320162242095
378,2014-04-16,0.0021209340319838788
379,2014-04-17,-0.0085106896679088
380,2014-04-22,0.0
381,2014-04-23,-0.012470554806056189
382,2014-04-24,-0.006947487478061731
383,2014-04-25,-0.0030548572742352675
384,2014-04-28,-0.00877964394575148
385,2014-04-29,0.022668842916160337
386,2014-04-30,0.025533216884909837
387,2014-05-02,0.0112807131343593
388,2014-05-05,0.017706865755700907
389,2014-05-06,
390,2014-05-07,
391,2014-05-08,
392,2014-05-09,
393,2014-05-12,0.024396137786808048
394,2014-05-13,0.014809535902296833
395,2014-05-14,
396,2014-05-15,
397,2014-05-16,0.0
398,2014-05-19,
399,2014-05-20,
400,2014-05-21,
401,2014-05-22,
402,2014-05-23,
403,2014-05-26,
404,2014-05-27,
405,2014-05-28,
406,2014-05-29,
407,2014-05-30,
408,2014-06-02,-0.005219959750211167
409,2014-06-03,
410,2014-06-04,
411,2014-06-05,
412,2014-06-06,
413,2014-06-09,
414,2014-06-10,
415,2014-06-11,
416,2014-06-13,
417,2014-06-16,
418,2014-06-17,0.0013572787737321512
419,2014-06-18,-0.0023765076538930785
420,2014-06-20,0.0010192288801609273
421,2014-06-23,-0.018852348935066043
422,2014-06-24,0.024945732717508662
423,2014-06-25,-0.004397064490120783
424,2014-06-26,-0.014683548774989674
425,2014-06-27,0.006514681021193791
426,2014-06-30,-0.0003418219141129164
427,2014-07-01,-0.006172859107080875
428,2014-07-02,
429,2014-07-03,
430,2014-07-04,0.006366280399976443
431,2014-07-07,
432,2014-07-08,
433,2014-07-10,0.0033784154325755544
434,2014-07-11,0.0010112928554453227
435,2014-07-14,0.00033690415786225003
436,2014-07-15,-0.0013481970133075727
437,2014-07-16,-0.025274569415479675
438,2014-07-17,-0.030198959710173945
439,2014-07-18,-0.01291722302109033
440,2014-07-21,0.025317771870169814
441,2014-07-22,0.03800111817861396
442,2014-07-23,-0.022973751695463562
443,2014-07-24,
444,2014-07-25,
445,2014-07-28,
446,2014-07-29,
447,2014-07-30,-0.0031651512825661143
448,2014-07-31,-0.008489580675509423
449,2014-08-01,0.02940358834786494
450,2014-08-04,0.016421819883225552
451,2014-08-05,-0.0061265678358028985
452,2014-08-06,-0.022441887804743654
453,2014-08-07,0.031279402834915704
454,2014-08-08,-0.07153413507467565
455,2014-08-11,-0.0021833705510716506
456,2014-08-12,-0.0084142438997854
457,2014-08-13,0.01928387970681733
458,2014-08-14,
459,2014-08-15,
460,2014-08-18,
461,2014-08-19,
462,2014-08-20,
463,2014-08-21,
464,2014-08-22,
465,2014-08-25,
466,2014-08-26,0.03125815831147438
467,2014-08-27,
468,2014-08-28,
469,2014-08-29,
470,2014-09-01,
471,2014-09-02,
472,2014-09-03,
473,2014-09-04,
474,2014-09-05,0.02405496205774682
475,2014-09-08,-0.03160220376816669
476,2014-09-09,-0.004700750017470945
477,2014-09-10,-0.011666191371697554
478,2014-09-11,
479,2014-09-12,
480,2014-09-15,
481,2014-09-16,
482,2014-09-17,
483,2014-09-18,
484,2014-09-19,
485,2014-09-22,
486,2014-09-23,
487,2014-09-24,
488,2014-09-25,
489,2014-09-26,
490,2014-09-29,
491,2014-09-30,
492,2014-10-01,
493,2014-10-02,
494,2014-10-03,
495,2014-10-06,
496,2014-10-07,
497,2014-10-08,
498,2014-10-09,
499,2014-10-10,
500,2014-10-13,
501,2014-10-14,
502,2014-10-15,
503,2014-10-16,-0.0019211917901769127
504,2014-10-17,0.022438667233446452
505,2014-10-20,-0.03833355508323111
506,2014-10-21,-0.03864248879800636
507,2014-10-22,0.005266327641008317
508,2014-10-23,-0.05608946665104364
509,2014-10-24,0.012739067971521578
510,2014-10-27,0.09300598912538272
511,2014-10-28,0.07336622406680204
512,2014-10-29,0.00071428574465493
513,2014-10-30,0.004985765313682222
514,2014-10-31,0.01934980302308098
515,2014-11-03,-0.007695071065005443
516,2014-11-04,
517,2014-11-05,
518,2014-11-06,
519,2014-11-07,
520,2014-11-10,
521,2014-11-11,
522,2014-11-12,
523,2014-11-13,
524,2014-11-14,
525,2014-11-17,
526,2014-11-18,
527,2014-11-19,
528,2014-11-21,
529,2014-11-24,
530,2014-11-25,
531,2014-11-26,
532,2014-11-27,0.00393634439095214
533,2014-11-28,
534,2014-12-01,
535,2014-12-02,
536,2014-12-03,
537,2014-12-04,-0.027070447028217703
538,2014-12-05,0.0304983690071845
539,2014-12-08,-0.005719710649972676
540,2014-12-09,0.013295542481244649
541,2014-12-10,-0.018663653531616475
542,2014-12-11,0.0053681110503718266
543,2014-12-12,-0.023211913000162454
544,2014-12-15,
545,2014-12-16,
546,2014-12-17,0.04140205835099664
547,2014-12-18,-0.011195598521348327
548,2014-12-19,0.00880706235393136
549,2014-12-22,0.01227981364615971
550,2014-12-23,0.014461850639782892
551,2014-12-26,-0.018406668456491637
552,2014-12-29,0.01763027090196312
553,2014-12-30,-0.09100876455776685
554,2015-01-02,
555,2015-01-05,
556,2015-01-06,-0.060142345462741886
557,2015-01-07,-0.03174869831458027
558,2015-01-08,0.030723582899334634
559,2015-01-09,-0.02597548640326064
560,2015-01-12,-0.10887539907982635
561,2015-01-13,0.01572073133142693
562,2015-01-14,0.02678997491068591
563,2015-01-15,-0.03958078920122743
564,2015-01-16,0.05243366206036537
565,2015-01-19,0.0060891966146052745
566,2015-01-20,0.007148724226030634
567,2015-01-21,0.058527339447290494
568,2015-01-22,-0.16297496902050845
569,2015-01-23,-0.012856068928782882
570,2015-01-26,0.04399618987499121
571,2015-01-27,-0.008883683469368187
572,2015-01-28,-0.02043340445902997
573,2015-01-29,0.04220543308301661
574,2015-01-30,-0.03313906696033708
575,2015-02-02,0.02554329548272527
576,2015-02-03,-0.034609661605404796
577,2015-02-04,0.06976171170272094
578,2015-02-05,0.010701313049834571
579,2015-02-06,-0.06599622546275219
580,2015-02-09,-0.030995978796164447
581,2015-02-10,-0.03135059161246945
582,2015-02-11,0.021424952428243937
583,2015-02-12,0.08711521614696238
584,2015-02-13,0.037571001478611254
585,2015-02-18,0.02553787320129519
586,2015-02-19,0.07042251794461585
587,2015-02-20,-0.050241216436746505
588,2015-02-23,0.060191596794863855
589,2015-02-24,0.05396294538553548
590,2015-02-25,0.05520219953177241
591,2015-02-26,-0.12312354667296388
592,2015-02-27,-0.026966834474869028
593,2015-03-02,-0.05349435516100787
594,2015-03-03,-0.024787774903533677
595,2015-03-04,-0.056797539361257865
596,2015-03-05,0.009400715252830594
