,Time,Returns_KROT3
249,2013-10-07,0.0032206147000422014
250,2013-10-08,-0.005804595465967122
251,2013-10-09,0.02837748204183166
252,2013-10-10,-0.0003144159749215447
253,2013-10-11,0.0245392030633389
254,2013-10-14,0.008250619759651912
255,2013-10-15,-0.017188882380511306
256,2013-10-16,-0.027622597401135707
257,2013-10-17,-0.027098432326559063
258,2013-10-18,0.02486806657801388
259,2013-10-21,0.023330188042835598
260,2013-10-22,-0.007507073103592887
261,2013-10-23,0.0025086247085179814
262,2013-10-24,-0.0012535257047243675
263,2013-10-25,0.009984482321141464
264,2013-10-28,-0.019119842750241034
265,2013-10-29,0.0022127399576818974
266,2013-10-30,0.01286292244776499
267,2013-10-31,0.021890807858243377
268,2013-11-01,0.025889465234179898
269,2013-11-04,0.029573228196722923
270,2013-11-05,0.013753798471491496
271,2013-11-06,-0.012024192966801905
272,2013-11-07,0.04615337951712872
273,2013-11-08,0.014471242299306297
274,2013-11-11,0.016400421367780638
275,2013-11-12,0.0
276,2013-11-13,-0.008032171697264001
277,2013-11-14,0.021277398447284934
278,2013-11-18,-0.005277057100844029
279,2013-11-19,-0.009569451016150587
280,2013-11-21,0.009569451016150587
281,2013-11-22,0.036367644170875124
282,2013-11-25,-0.033725634708036356
283,2013-11-26,0.033725634708036356
284,2013-11-27,-0.011545990997061217
285,2013-11-28,0.0018048219415085498
286,2013-11-29,0.01863011647279844
287,2013-12-02,-0.008888947417245774
288,2013-12-03,-0.023226850609816996
289,2013-12-04,-0.004448522317127779
290,2013-12-05,0.01741887275975529
291,2013-12-06,-0.0012894908298717311
292,2013-12-09,0.007199825393167991
293,2013-12-10,-0.002051808875766614
294,2013-12-11,-0.014742281737203378
295,2013-12-12,0.0
296,2013-12-13,-0.012585378491173138
297,2013-12-16,0.002635047638005261
298,2013-12-17,-0.011912781516242088
299,2013-12-18,-0.001332445233778845
300,2013-12-19,0.012982034223169236
301,2013-12-20,0.0002631925268516966
302,2013-12-23,0.013072081567352622
303,2013-12-26,-0.0005196154962328059
304,2013-12-27,0.009312017625618285
305,2013-12-30,0.01075554542519086
306,2014-01-02,-0.022148729254633626
307,2014-01-03,0.0020811662038244805
308,2014-01-06,0.0005196154962328059
309,2014-01-07,-0.013072081567352622
310,2014-01-08,0.020318490088119923
311,2014-01-09,-0.016378892084039975
312,2014-01-10,0.027150989065951148
313,2014-01-13,-0.003833870510721926
314,2014-01-14,0.003833870510721926
315,2014-01-15,-0.011287959773851775
316,2014-01-16,-0.010373537007327904
317,2014-01-17,-0.01868229576933489
318,2014-01-20,-0.00425872349808154
319,2014-01-21,-0.006959342863195328
320,2014-01-22,0.0026824050418667866
321,2014-01-23,-0.012941674291146565
322,2014-01-24,-0.02389239011295885
323,2014-01-27,0.008854512748417864
324,2014-01-28,0.012320484388040676
325,2014-01-29,-0.00245198324728646
326,2014-01-30,-0.0071174677688641275
327,2014-01-31,0.01310062404569834
328,2014-02-03,-0.007621158281072571
329,2014-02-04,0.026955809988528312
330,2014-02-05,0.0013289038500534645
331,2014-02-06,0.02491932222488291
332,2014-02-07,0.03312404742503228
333,2014-02-10,-0.003012050469991312
334,2014-02-11,0.005515180688110188
335,2014-02-12,0.0004998750416507214
336,2014-02-13,-0.0004998750416507214
337,2014-02-14,0.012422519998557036
338,2014-02-17,-0.01117330059812538
339,2014-02-18,-0.01763269865095607
340,2014-02-19,-0.011501724239011413
341,2014-02-20,0.04326630552783772
342,2014-02-21,0.019020324679030143
343,2014-02-24,0.049480057263370014
344,2014-02-25,-0.016222835506887634
345,2014-02-26,0.009302392662313697
346,2014-02-27,0.009216655104923976
347,2014-02-28,0.0022909517465561358
348,2014-03-05,0.019488493517483718
349,2014-03-06,-0.02338624005482215
350,2014-03-07,-0.02394627963383522
351,2014-03-10,0.005163118721568161
352,2014-03-11,0.02952243926632203
353,2014-03-12,0.006795043132828749
354,2014-03-13,-0.002938851442654933
355,2014-03-14,-0.0015860431556347088
356,2014-03-17,0.01574835696813892
357,2014-03-18,0.0434613654571856
358,2014-03-19,0.006603496144247156
359,2014-03-20,0.03443219642148421
360,2014-03-21,-0.009480697558405637
361,2014-03-24,0.008249170309158949
362,2014-03-25,-0.008042109536082531
363,2014-03-26,-0.01670184961793142
364,2014-03-27,0.030069657935923644
365,2014-03-28,0.012989831524523154
366,2014-03-31,0.0062318022564307185
367,2014-04-01,-0.01840480710698955
368,2014-04-02,0.01639878838012354
369,2014-04-03,-0.018033109479341558
370,2014-04-04,-0.00533006591925167
371,2014-04-07,-0.017626169134603575
372,2014-04-08,-0.01687803778735164
373,2014-04-09,-0.004264398786457679
374,2014-04-10,0.0
375,2014-04-11,0.04552884860042061
376,2014-04-14,-0.024386412026611293
377,2014-04-15,-0.027143311846946627
378,2014-04-16,0.01705071145972248
379,2014-04-17,0.008627091907619011
380,2014-04-22,-0.018395697938155653
381,2014-04-23,-0.034298999184722234
382,2014-04-24,0.0026466711523749353
383,2014-04-25,0.032505570404931294
384,2014-04-28,0.009337928633604609
385,2014-04-29,-0.0021146127566766815
386,2014-04-30,0.005488719711434165
387,2014-05-02,0.051093274384883536
388,2014-05-05,0.02313499128516261
389,2014-05-06,0.004680195750477623
390,2014-05-07,0.05045636838718215
391,2014-05-08,-0.0005550929923270331
392,2014-05-09,0.003879195776165467
393,2014-05-12,0.020258015522506057
394,2014-05-13,0.010781775603288413
395,2014-05-14,-0.0028637929004973195
396,2014-05-15,-0.014079654970070354
397,2014-05-16,0.03921372139307078
398,2014-05-19,-0.005433367148152346
399,2014-05-20,-0.03632859006140121
400,2014-05-21,0.015731270982918044
401,2014-05-22,0.009285781007908778
402,2014-05-23,0.000710732083933685
403,2014-05-26,0.010600805986640705
404,2014-05-27,-0.017909867850678385
405,2014-05-28,0.006420567802922772
406,2014-05-29,-0.006241660923476111
407,2014-05-30,0.017203581157654746
408,2014-06-02,-0.006350347676956414
409,2014-06-03,0.006877727490533392
410,2014-06-04,0.02533538252229972
411,2014-06-05,0.006660429369683474
412,2014-06-06,0.010160968031408757
413,2014-06-09,0.010392316124741008
414,2014-06-10,0.024053877995418027
415,2014-06-11,-0.014924426255681134
416,2014-06-13,0.007736027388209887
417,2014-06-16,-0.0022980968748287367
418,2014-06-17,0.008183351723384469
419,2014-06-18,-0.0060492295968122
420,2014-06-20,-0.02793663555642878
421,2014-06-23,0.00839635495290647
422,2014-06-24,0.02558951020033451
423,2014-06-25,0.0032546814735416874
424,2014-06-26,0.003082166443550971
425,2014-06-27,0.008226516270803508
426,2014-06-30,-0.0046695197961490464
427,2014-07-01,-0.007451840736195425
428,2014-07-02,-0.02036864111031722
429,2014-07-03,0.017926637454765526
430,2014-07-04,-0.024586668732367922
431,2014-07-07,-0.009905226624805863
432,2014-07-08,-0.0035493994839703724
433,2014-07-10,0.018952349243902766
434,2014-07-11,0.013367638613631883
435,2014-07-14,-0.004930166107858458
436,2014-07-15,0.010651473091467967
437,2014-07-16,0.010055225817095614
438,2014-07-17,-0.024007031937220535
439,2014-07-18,0.015092149975880709
440,2014-07-21,0.012297889617931101
441,2014-07-22,0.009921668843545284
442,2014-07-23,-0.012014561823536773
443,2014-07-24,0.02089223585555411
444,2014-07-25,-0.023474131754900096
445,2014-07-28,0.01618754795512478
446,2014-07-29,-0.0015910902322420206
447,2014-07-30,-0.011209084534719693
