,Time,Returns_GOAU4
151,2013-05-20,0.011396077424280726
152,2013-05-21,0.015181624167478702
153,2013-05-22,0.0038986404156573506
154,2013-05-23,-0.033920777100564514
155,2013-05-24,-0.019745125783379613
156,2013-05-27,0.005264709748077134
157,2013-05-28,0.0046565861009990606
158,2013-05-29,-0.015803548104066145
159,2013-05-31,-0.030550442368225017
160,2013-06-03,0.027596171473744935
161,2013-06-04,0.0041333983895861515
162,2013-06-05,-0.03355611521661439
163,2013-06-06,-0.0006095702718464935
164,2013-06-07,-0.012270030863421155
165,2013-06-10,-0.023736341627223823
166,2013-06-11,-0.02885740478900356
167,2013-06-12,0.0019499518690793138
168,2013-06-13,0.055569912579870095
169,2013-06-14,-0.001844513223707267
170,2013-06-17,0.004910998206627326
171,2013-06-18,0.004886998119625563
