,Time,Returns_GGBR3
151,2013-05-20,0.02839947452169822
152,2013-05-21,0.022934971282495553
153,2013-05-22,-0.029355539085418325
154,2013-05-23,0.005620247632153408
155,2013-05-24,-0.03172287153479081
156,2013-05-27,0.012320484388040676
157,2013-05-28,0.020202707317519497
158,2013-05-29,-0.02511270081507533
159,2013-05-31,-0.011551283556516356
160,2013-06-03,0.015644617147516193
161,2013-06-04,0.008946785989806028
162,2013-06-05,-0.03711766295650243
163,2013-06-06,-0.008438868645864517
164,2013-06-07,-0.012793351459909452
165,2013-06-10,-0.025207766718704505
166,2013-06-11,-0.031294462558416836
167,2013-06-12,-0.002728514653203895
168,2013-06-13,0.048876898199583074
169,2013-06-14,-0.014853920987962344
170,2013-06-17,0.01745244995122608
171,2013-06-18,-0.01393750784378156
172,2013-06-19,-0.02217385749432177
