,Time,Returns_ITUB4
151,2013-05-20,-0.08367873086537303
152,2013-05-21,0.11127604216953779
153,2013-05-22,0.013010107582412722
154,2013-05-23,-0.008451456787276879
155,2013-05-24,-0.003039556498483087
156,2013-05-27,-0.004267610597517457
157,2013-05-28,0.003356422861746644
158,2013-05-29,-0.024656594203924964
159,2013-05-31,0.010246540801971182
160,2013-06-03,-0.008064459985134942
161,2013-06-04,0.004968492030631655
162,2013-06-05,-0.03530958566229092
163,2013-06-06,0.00926462677862494
164,2013-06-07,-0.006381213472547387
165,2013-06-10,-0.0019227454705448288
166,2013-06-11,-0.033247676855800545
167,2013-06-12,-0.002323274464424152
168,2013-06-13,-0.002661024260526279
169,2013-06-14,-0.021552277294683453
170,2013-06-17,0.005430600969918764
171,2013-06-18,-0.0061104673975092005
172,2013-06-19,-0.012338599899050173
